Ref,Val,Package,PosX,PosY,Rot,Side
"C401","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",35.0000,27.3625,90.0000,top
"C402","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",34.8000,18.2375,-90.0000,top
"C501","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",49.4000,14.0000,0.0000,top
"C502","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",49.4000,24.2000,0.0000,top
"D201","D3Z10BF-7","D_SOD-323_HandSoldering",20.0000,16.0000,180.0000,top
"D501","1N4148WS","D_SOD-323",44.0000,29.9500,90.0000,top
"D502","1N4148WS","D_SOD-323",44.0000,8.3000,-90.0000,top
"D601","D3Z10BF-7","D_SOD-323_HandSoldering",60.0000,16.0000,180.0000,top
"FID901","FIDUCIAL","Fiducial_Cross_0.5mm_Mask2mm",9.0000,36.0000,0.0000,top
"FID902","FIDUCIAL","Fiducial_Cross_0.5mm_Mask2mm",9.0000,4.0000,0.0000,top
"FID903","FIDUCIAL","Fiducial_Cross_0.5mm_Mask2mm",71.0000,36.0000,0.0000,top
"ID901","BOARD_STACKUP_MARKER","STACKUP_ID_2L_SML",12.7500,36.0000,0.0000,top
"J101","KLDX-0202-B","BarrelJack_Kycon_KLDX-0202-xC_Horizontal",14.7000,26.5000,0.0000,top
"J102","EBWA-02-B","TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal",5.0825,15.9050,-90.0000,top
"J103","EBWA-02-B","TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal",74.9175,12.1125,90.0000,top
"J104","KLDX-0202-B","BarrelJack_Kycon_KLDX-0202-xC_Horizontal",65.3000,26.5000,180.0000,top
"Q201","MCU18P10Y-TP","DPAK_MCC",20.0000,24.2500,0.0000,top
"Q601","BC846","SOT-23",57.5625,6.8000,0.0000,top
"Q602","MCU18P10Y-TP","DPAK_MCC",60.0000,24.2500,0.0000,top
"R201","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",16.9000,7.0000,0.0000,top
"R202","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",20.0000,11.0000,0.0000,top
"R301","39.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",26.2500,16.4500,90.0000,top
"R302","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",26.2500,11.4500,90.0000,top
"R303","56.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",26.2500,21.7500,-90.0000,top
"R304","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",26.2500,26.7500,-90.0000,top
"R401","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",37.0000,24.0000,-90.0000,top
"R402","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",37.0000,29.0000,-90.0000,top
"R403","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",31.2500,19.1000,180.0000,top
"R501","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",46.4000,12.4500,-90.0000,top
"R502","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",46.4000,25.7500,90.0000,top
"R503","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",44.0000,25.7500,-90.0000,top
"R504","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",44.0000,12.4500,90.0000,top
"R505","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",37.0000,12.4000,90.0000,top
"R506","1M","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",41.0000,12.4500,90.0000,top
"R507","1M","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",41.0000,25.7500,-90.0000,top
"R601","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",54.4000,4.2500,-90.0000,top
"R602","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",54.4000,9.3500,90.0000,top
"R603","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",60.0000,11.0000,0.0000,top
"R604","1M","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",60.0000,33.5000,90.0000,top
"U401","LM4040N-5.0","SOT-23",37.8375,18.1500,0.0000,top
"U501","AZV3002S-13","Diodes_SO-8EP",45.7500,19.1000,90.0000,top
